"e0b2caa","gpaez-ol","Sun, 21 May 2023 15:03:28 -0600","feat: Added Functions and Variable scoping",	 4 files changed, 245 insertions(+), 27 deletions(-)	
"5938d03","gpaez-ol","Sat, 20 May 2023 17:21:48 -0600","feat: Added Float Variables",	 1 file changed, 8 insertions(+), 1 deletion(-)	
"dc48e1a","gpaez-ol","Fri, 19 May 2023 23:01:26 -0600","feat: Removed Char Type for now",	 1 file changed, 1 insertion(+), 11 deletions(-)	
"8dfe03b","gpaez-ol","Fri, 19 May 2023 23:01:13 -0600","feat: Created Semantic Table .JS as an external file to be implemented, manipulate text as strings for now",	 4 files changed, 434 insertions(+), 290 deletions(-)	
"729b2f4","gpaez-ol","Fri, 19 May 2023 20:12:52 -0600","feat: Added For Cycles",	 3 files changed, 32 insertions(+), 6 deletions(-)	
"ac46063","gpaez-ol","Fri, 19 May 2023 18:26:12 -0600","feat: Added While and Do While Loops",	 2 files changed, 36 insertions(+), 11 deletions(-)	
"dd80170","gpaez-ol","Thu, 18 May 2023 18:15:14 -0600","feat: Added Else",	 2 files changed, 22 insertions(+), 4 deletions(-)	
"966de11","gpaez-ol","Sun, 14 May 2023 22:52:23 -0600","fix: Added documentation",	 1 file changed, 6 insertions(+)	
"dad6af8","gpaez-ol","Sun, 14 May 2023 22:50:54 -0600","feat: Added If Conditional statement, correct variable definition, corrected semantic table, added semantic table check, correct quadruple generation",	 3 files changed, 774 insertions(+), 358 deletions(-)	
"5344bfd","gpaez-ol","Sun, 23 Apr 2023 22:41:59 -0600","fix; Renamed doubleType to floatType",	 2 files changed, 7 insertions(+), 6 deletions(-)	
"538273f","gpaez-ol","Sun, 23 Apr 2023 22:38:33 -0600","feat: Added Semantic Table for operations",	 3 files changed, 236 insertions(+)	
"43f68dd","gpaez-ol","Sun, 23 Apr 2023 21:55:48 -0600","feat: Added  Instructions, Declarations and basic assignment",	 5 files changed, 681 insertions(+), 27 deletions(-)	
"06fa901","gpaez-ol","Sun, 23 Apr 2023 21:11:13 -0600","feat: Added PDF Pitch",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"083fa58","gpaez-ol","Sun, 16 Apr 2023 21:22:22 -0600","feat: Added Base Number Lex for a basic calculator",	 2 files changed, 64 insertions(+), 3 deletions(-)	
"9b267f7","gpaez-ol","Mon, 10 Apr 2023 07:29:53 -0600","feat: Added Initial Non-functional Skeleton",	 9 files changed, 1153 insertions(+)	
"636f875","gpaez-ol","Mon, 10 Apr 2023 07:28:52 -0600","feat: Initial Commit",	 2 files changed, 66 insertions(+)	
